APP_AHXMUSIC,AHX Music Disk,AHX Music Disk.elf
APP_AIOINTRO,AIO Intro,AIO Intro.elf
APP_AIOLOADE,AIO Loader,AIO Loader.elf
APP_ALTIMIT,Altimit,Altimit v0.1.elf
APP_BLAZEVGA,Blaze VGA Adapter,BLAZEVGA.ELF
APP_DMSEXPLO,DMS Explorer,DMS Explorer v1.0.elf
APP_EXECFTPS,ExecFTPs,EXECFTPS.ELF
APP_HDDMANAG,HDD Manager,HDDMANAGER.ELF
APP_HDLGAMEI,HDL Game Installer,HDLGameInstaller.elf
APP_HDLSVR,HDL Server,HDL-SERVER-093.ELF
APP_HDTVPLAY,Xploder HDTV Player,XPloder HDTV Player.ELF
APP_IGRCDVDP,IGR CDVD (Proof of Concept),IGR-CDVD - Proof of Concept.elf
APP_IGRHDLRE,IGR HDL (Proof of Concept),IGR-HDL Rev2.elf
APP_IGRMCPRO,IGR MC (Proof of Concept),IGR-MC - Proof of Concept.elf
APP_INFINITY,Infinity Manager,Infinity Manager v1.0b.elf
APP_JUMSPS2M,Jum's PS2 MC Boot Menu,Jum's PS2 MC Boot Menu v1.0.elf
APP_KEYLAUNC,PS2 KeyLauncher,Key Launcher v0.4.elf
APP_MCLOADER,MC Loader,MC Loader v1.35.elf
APP_MEGAHAWK,Megahawks Music Disk,Megahawks Music Disk.elf
APP_NETCHEAT,NetCheat,NetCheat.elf
APP_NETFS,smbLaunchELF,NETFS.ELF
APP_OGGVORBI,OGG Vorbis Player,OGG Vorbis Player beta 01.elf
APP_OPLNEUT,OPL Neutrino GUI,OPLNEUTV41.ELF
APP_PS2ESDL,Playstation 2 External Storage Device Game Loader,PS2ESDL v0.825 OB.elf
APP_PS2LAUNC,PS2 Launcher,PS2-Launcher-v3.1.0.ELF
APP_PS2LUAPL,PS2 Lua Player,PS2 LUA Player v0.20 R3.elf
APP_PS2MP3,PlayStation 2 MP3 Player SE,PlayStation 2 MP3 Player SE v1.3.elf
APP_PS2OS,PS2OS,PS2OS.ELF
APP_PS2SHELL,PS2 Shell,PS2Shell v0.0.3.elf
APP_PS2SPLAS,PS2 Splash,PS2SPLASH v1.0.elf
APP_PUKKLINK,Pukklink,PUKK_P2L.ELF
APP_RADMENU,RadMenu,RadMenu.elf
APP_RADSHELL,RadShell,radshell.elf
APP_RIPPER2N,Ripper 2 Navigator (Infinity Manager hack),Ripper 2 Navigator (Infinity Manager hack).elf
APP_RIPPER3N,Ripper 3 Navigator (Infinity Manager hack),Ripper 3 Navigator (Infinity Manager hack).elf
APP_RPCSERVE,RPC Server,rpcserver.elf
APP_SC2MAKER,SoulCalibur2 Conquest Card Maker,sc2maker_pkd.elf
APP_TESL,TES-L,TES-L v0.001.elf
APP_USBADVN,USB Advance,USBADVN.ELF
APP_VTSPS2CR,VTSPS2-CRC32,VTSPS2-CRC32-packed.ELF
DBG_CLLIVEDE,CL-LiveDebug,CL-LiveDebug v3.0.4b.elf
DBG_JUMSBOOT,Jum's Boot ELF Uploader,Jum's Boot ELF Uploader.elf
DBG_KERMIT,Kermit,Kermit v0.4.4 beta1.elf
DBG_NAPLINK,NapLink,NapLink v1.0.1a.elf
DBG_NPORT,nPort,nPort.elf
DEM_BLABLA,BlaBla,BLABLA.ELF
DEM_BUNNY,Bunny,BUNNY.ELF
DEM_CALLSTAC,Call Stack Test,callstacktest.elf
DEM_CARSHOWR,Carshowroom,carshowroom.elf
DEM_CLOUDY,Cloudy,cloudy_intro.elf
DEM_COLORS15,Colors of My Mind v1.5,colors15.elf
DEM_D136B,d136b,d136b.elf
DEM_EEECHO,EE Echo,ee-echo.elf
DEM_EVOLUTIO,Evolution,PS2EVOL.ELF
DEM_EXPLORAT,Explorations in Testing,adresd_round20_explorations.elf
DEM_FLATLINE,Flatline,flatline.elf
DEM_GOODBYE,Goodbye,GOODBYE.ELF
DEM_ICE,Ice,ICE.ELF
DEM_INNERLOO,Innerloop,Innerloop (ps2link).elf
DEM_J0MOMMAZ,J0Mommaz,J0Mommaz.elf
DEM_LASERSUN,Laser Sundays,Laser Sundays.elf
DEM_LION,Lion Tech Demo,main.elf
DEM_LOBOTOMI,Lobotomia,Lobotomia.elf
DEM_MCEXAMPL,Memory Card Example,mc_example.elf
DEM_MONALISA,Mona Lisa,monalisa.elf
DEM_MTAPSAMP,Multitap Sample,mtap_sample.elf
DEM_MUTHA,Mutha,risk_3d_mutha.elf
DEM_P51,P51 Mustang,p51.elf
DEM_PADEXAMP,Pad Example,pad_example.elf
DEM_PADS,Pads,pads.elf
DEM_PADXSAMP,Padx Sample,padx_sample.elf
DEM_PLASMADR,Plasma Dreams,plasmadreams.elf
DEM_PLAYWAV,Play WAV,playwav.elf
DEM_PS2CODIN,PS2 Coding Is Good For You,PS2 Coding Is Good For You.elf
DEM_PS2FLIGH,PS2 Flight,ps2flight.elf
DEM_PS2ROOM,PS2Room,PS2Room.elf
DEM_PS2SNDSA,PS2 Sound Sample,ps2snd-sample.elf
DEM_QUICKIE,Quickie,adresd_round10_quickie.elf
DEM_RELEVEN,R-Eleven,R-ELEVEN.elf
DEM_ROUND4,Round 4,Adresd_round4.elf
DEM_SLAVEOFT,Slave of the VU,slave_of_the_vu.elf
DEM_STOPGAP,Stop Gap,ttc18_stop_gap.elf
DEM_TERRAIN,Terrain,TERRAIN.ELF
DEM_THECUBE,The Cube,thecube-ntsc.elf
DEM_TRAVEL,Travel,TRAVEL.ELF
DEM_VUHARNES,PS2vuharness,vuharness.elf
DEM_YEAR2003,Year2003,YEAR2003.ELF
DST_DMSHDDEX,DMS HDD Explorer Installer,DMS HDD Explorer Installer v1.0.elf
DST_DMSHDDFO,DMS HDD Format Tool,DMS HDD Format Tool v1.0.elf
DST_DVDELFDU,DVD ELF Dumper,DVD ELF Dumper.elf
DST_HDDEMOLI,HDDemolisher,HDDemolisher.elf
DST_IDCHANGE,Console ID Changer,ID-CHANGER.ELF
DST_IDDUMPER,ID Dumper,ID_DUMPER.elf
DST_INFINITY,Infinity DEV2 Installer,Infinity DEV2 Installer v1.1.elf
DST_MASSFORM,Mass Format Utility,Mass Format Utility v1.0.elf
DST_MMPLUS,Memory Manager Plus,Memory-Manager-Datel.ELF
DST_SIOCOMMU,SIO Communications Tester,SIO Communications Tester v1.0.elf
DST_TESTLAUN,Test Launcher BM,TestLauncher BM v2.elf
DST_TESTLENS,Test Lens,Test Lens.elf
EMU_ANARCH,Anarch,anarch_libretro_ps2.elf
EMU_ARDENS,Ardens,ardens_libretro_ps2.elf
EMU_ARDUOUS,Arduous,arduous_libretro_ps2.elf
EMU_DICE,DICE,dice_libretro_ps2.elf
EMU_FREECHAF,FreeChaF,freechaf_libretro_ps2.elf
EMU_GAM4980,GAM-4980,gam4980_libretro_ps2.elf
EMU_GME,Game Music Emu,gme_libretro_ps2.elf
EMU_HANDY,Handy,handy_libretro_ps2.elf
EMU_JAXE,JAXE,jaxe_libretro_ps2.elf
EMU_LOWRESNX,LowRes NX,lowresnx_libretro_ps2.elf
EMU_LYNX,Beetle Lynx,mednafen_lynx_libretro_ps2.elf
EMU_NUMERO,Numero,numero_libretro_ps2.elf
EMU_PS2BOR,PS2Bor,PS2Bor v0.1b.elf
EMU_QUASI88,QUASI88,quasi88_libretro_ps2.elf
EMU_RACE,RACE,race_libretro_ps2.elf
EMU_RETRO8,Retro8,retro8_libretro_ps2.elf
EMU_SMSPLUS,SMS Plus GX,smsplus_libretro_ps2.elf
EMU_SQUIRREL,SquirrelJME,squirreljme_libretro_ps2.elf
EMU_TAMALIBR,Bandai - Tamagotchi P1 (TamaLIBretro),tamalibretro_libretro_ps2.elf
EMU_TGBDUAL,TGB Dual,tgbdual_libretro_ps2.elf
EMU_TOPS2,TOPS2 (Thomson TO7/70),TOPS2 v1.0.elf
EMU_UW8,UW8,uw8_libretro_ps2.elf
EMU_UZEM,Uzebox (Uzem),uzem_libretro_ps2.elf
EMU_VAPORSPE,VaporSpec,vaporspec_libretro_ps2.elf
EMU_VECX,VecX,VECXPS2.ELF
EMU_VECXFORP,VecX,VecX for PS2 v0.2.elf
EMU_WASM4,WebAssembly (WASM-4),wasm4_libretro_ps2.elf
GEM_NJAM,Njam,njam.elf
GME_BALLION,Ballion,Ballion PS2.elf
GME_DUCKHUNT,Makeshift Duck Hunt,Makeshift Duckhunt Alpha1 (2005-12-23).elf
GME_JAMMER,Jammer,Jammer v1.0.elf
GME_KAHTZEEK,Kahtzee KAPI Demo,Kahtzee KAPI Demo.elf
GME_NIM,NIM,NIM.elf
GME_PANG,PANG,Pang 2006-01-12.elf
GME_PATIENCE,PS2 Patience,patience.elf
GME_RACER,PS2-Racer,race.elf
GME_TH06,Touhou 6,TH06.ELF
GME_TYRIAN,Tyrian,TYRIAN.elf
GME_YETI3D,Yeti3D,YETI3D PS2 fixed1.elf
SYS_HWCLANGU,HWC's Language Selector,HWC_Language_Selector.ELF
SYS_IGR,Return to Boot Card,IGR.ELF
SYS_PS2EJECT,PS2 Eject,PS2Eject.ELF
